snapshot_date,location,product_id,quantity_on_hand,days_in_stock,reorder_level
2025-07-31,Lake Worth,P0142,1,14,3
2026-02-28,Lake Worth,P0169,1,39,3
2026-02-28,Lake Worth,P0195,0,14,1
2026-03-31,Dania Beach,P0080,0,25,2
2026-02-28,Lake Worth,P0031,2,48,2
2026-05-31,Dania Beach,P0048,3,38,2
2025-08-31,Oakland Park,P0160,2,48,3
2025-10-31,Oakland Park,P0170,8,140,2
2026-03-31,Oakland Park,P0270,2,65,2
2025-10-31,Oakland Park,P0229,66,24,3
2026-05-31,Oakland Park,P0185,5,58,3
2025-07-31,Dania Beach,P0226,2,22,3
2025-07-31,Oakland Park,P0210,3,11,2
2026-04-30,Lake Worth,P0025,4,58,3
2026-05-31,Oakland Park,P0274,1,48,1
2026-01-31,Lake Worth,P0112,17,42,1
2026-02-28,Lake Worth,P0032,0,38,3
2026-06-30,Oakland Park,P0058,9,51,1
2026-06-30,Oakland Park,P0105,4,42,2
2026-05-31,Dania Beach,P0139,0,8,3
2025-12-31,Lake Worth,P0256,2,118,2
2026-04-30,Oakland Park,P0162,5,37,1
2025-12-31,Dania Beach,P0028,62,160,2
2025-09-30,Oakland Park,P0100,16,318,2
2025-12-31,Lake Worth,P0053,0,70,1
2026-03-31,Lake Worth,P0164,4,24,3
2025-08-31,Dania Beach,P0234,7,44,3
2025-09-30,Lake Worth,P0122,10,6,2
2026-06-30,Lake Worth,P0189,4,64,2
2026-04-30,Oakland Park,P0029,0,67,2
2026-03-31,Oakland Park,P0075,1,31,2
2025-12-31,Dania Beach,P0206,0,0,2
2025-11-30,Dania Beach,P0208,0,65,2
2025-07-31,Lake Worth,P0074,1,183,1
2025-07-31,Dania Beach,P0026,0,65,3
2025-09-30,Dania Beach,P0057,9,24,3
2026-06-30,Oakland Park,P0176,5,25,1
2026-02-28,Lake Worth,P0181,28,10,1
2025-12-31,Oakland Park,P0282,1,68,2
2026-06-30,Lake Worth,P0065,4,10,2
2026-04-30,Lake Worth,P0146,2,40,2
2026-03-31,Lake Worth,P0043,3,59,1
2026-03-31,Oakland Park,P0062,1,74,3
2026-01-31,Dania Beach,P0226,2,43,2
2026-01-31,Lake Worth,P0096,0,32,2
2025-09-30,Oakland Park,P0202,2,244,2
2025-11-30,Lake Worth,P0118,3,32,2
2025-11-30,Lake Worth,P0032,3,30,1
2025-12-31,Oakland Park,P0169,3,101,1
2025-09-30,Oakland Park,P0232,14,52,3
2025-10-31,Dania Beach,P0081,3,250,2
2026-04-30,Oakland Park,P0054,3,74,3
2026-05-31,Oakland Park,P0082,3,20,3
2026-03-31,Oakland Park,P0169,3,36,2
2026-06-30,Lake Worth,P0137,0,13,1
2025-11-30,Lake Worth,P0027,5,17,2
2025-08-31,Dania Beach,P0182,1,315,2
2026-02-28,Lake Worth,P0297,6,53,1
2025-09-30,Lake Worth,P0140,4,38,1
2026-06-30,Lake Worth,P0280,2,21,1
2026-02-28,Oakland Park,P0097,0,64,1
2026-02-28,Lake Worth,P0137,1,216,2
2026-04-30,Oakland Park,P0224,3,74,2
2026-03-31,Dania Beach,P0176,5,67,2
2025-08-31,Oakland Park,P0286,9,236,3
2025-11-30,Dania Beach,P0002,0,8,3
2025-08-31,Dania Beach,P0029,4,60,2
2026-05-31,Lake Worth,P0118,7,37,2
2025-09-30,Oakland Park,P0165,0,28,2
2026-05-31,Dania Beach,P0300,2,42,3
2026-06-30,Lake Worth,P0002,2,15,1
2026-04-30,Oakland Park,P0236,6,45,2
2026-03-31,Dania Beach,P0153,6,29,2
2026-03-31,Oakland Park,P0054,4,23,1
2025-07-31,Lake Worth,P0116,12,31,2
2025-08-31,Lake Worth,P0140,4,32,1
2026-02-28,Dania Beach,P0222,1,54,2
2026-04-30,Dania Beach,P0293,3,45,2
2025-07-31,Dania Beach,P0278,5,68,2
2026-06-30,Dania Beach,P0076,3,40,1
2026-05-31,Dania Beach,P0273,2,32,2
2026-04-30,Dania Beach,P0179,0,37,1
2025-08-31,Lake Worth,P0105,0,69,2
2026-06-30,Lake Worth,P0118,3,27,2
2026-04-30,Lake Worth,P0182,0,38,1
2025-08-31,Oakland Park,P0254,0,56,2
2025-08-31,Lake Worth,P0054,5,74,2
2025-11-30,Lake Worth,P0165,3,244,1
2026-06-30,Dania Beach,P0213,5,46,2
2026-02-28,Lake Worth,P0160,1,59,2
2026-02-28,Oakland Park,P0107,6,102,2
2026-06-30,Lake Worth,P0219,4,191,1
2026-05-31,Lake Worth,P0019,0,26,2
2025-09-30,Oakland Park,P0264,12,117,1
2025-12-31,Dania Beach,P0268,1,67,1
2025-10-31,Dania Beach,P0026,2,183,2
2025-07-31,Dania Beach,P0173,7,161,2
2025-08-31,Lake Worth,P0135,1,67,1
2026-01-31,Lake Worth,P0266,7,31,3
2026-03-31,Dania Beach,P0108,4,13,1
2025-08-31,Oakland Park,P0018,4,10,3
2026-02-28,Lake Worth,P0066,4,100,1
2026-05-31,Oakland Park,P0081,4,71,3
2026-04-30,Dania Beach,P0228,3,68,2
2026-02-28,Dania Beach,P0116,8,233,2
2025-11-30,Oakland Park,P0084,0,24,1
2026-02-28,Dania Beach,P0152,8,33,3
2026-06-30,Oakland Park,P0227,7,65,1
2026-05-31,Dania Beach,P0033,8,229,2
2026-02-28,Oakland Park,P0031,1,37,3
2026-02-28,Dania Beach,P0019,1,49,2
2026-03-31,Dania Beach,P0110,2,39,1
2026-01-31,Lake Worth,P0104,6,21,1
2025-12-31,Dania Beach,P0009,6,68,2
2026-01-31,Dania Beach,P0248,4,50,1
2026-01-31,Lake Worth,P0068,15,43,1
2025-08-31,Lake Worth,P0137,6,24,2
2025-10-31,Dania Beach,P0277,2,264,1
2026-04-30,Dania Beach,P0224,3,55,3
2026-03-31,Oakland Park,P0140,1,180,2
2025-10-31,Dania Beach,P0115,0,0,3
2026-03-31,Lake Worth,P0217,0,72,3
2025-08-31,Oakland Park,P0127,5,57,1
2026-04-30,Oakland Park,P0271,8,176,2
2026-03-31,Oakland Park,P0032,0,46,2
2026-03-31,Lake Worth,P0032,4,20,1
2026-05-31,Lake Worth,P0152,9,6,2
2025-10-31,Dania Beach,P0113,11,216,2
2026-03-31,Oakland Park,P0299,2,62,1
2026-01-31,Dania Beach,P0175,7,39,3
2025-07-31,Lake Worth,P0295,2,155,2
2025-07-31,Oakland Park,P0139,0,5,1
2025-11-30,Lake Worth,P0122,9,19,2
2025-11-30,Oakland Park,P0273,1,30,3
2025-09-30,Dania Beach,P0152,5,60,3
2026-03-31,Oakland Park,P0263,11,115,3
2025-11-30,Lake Worth,P0164,2,186,2
2025-10-31,Dania Beach,P0292,0,53,2
2025-11-30,Lake Worth,P0209,10,49,2
2025-11-30,Oakland Park,P0080,1,46,2
2025-11-30,Lake Worth,P0257,1,27,2
2025-11-30,Lake Worth,P0274,0,67,3
2025-08-31,Dania Beach,P0241,5,277,3
2025-08-31,Lake Worth,P0239,6,50,2
2026-05-31,Lake Worth,P0139,1,44,3
2025-09-30,Oakland Park,P0033,10,21,3
2026-02-28,Dania Beach,P0017,0,31,2
2025-10-31,Lake Worth,P0025,4,14,2
2026-03-31,Dania Beach,P0245,9,282,2
2025-08-31,Dania Beach,P0109,3,295,2
2025-10-31,Lake Worth,P0205,10,24,2
2025-08-31,Dania Beach,P0123,26,32,3
2025-07-31,Lake Worth,P0079,5,190,1
2025-09-30,Oakland Park,P0061,2,71,2
2025-10-31,Oakland Park,P0033,5,75,2
2025-09-30,Oakland Park,P0060,9,53,1
2026-04-30,Oakland Park,P0234,9,20,1
2025-11-30,Oakland Park,P0148,4,42,2
2025-12-31,Oakland Park,P0086,0,31,2
2026-06-30,Dania Beach,P0260,0,9,1
2026-02-28,Lake Worth,P0283,9,14,2
2026-05-31,Lake Worth,P0097,4,107,3
2026-02-28,Dania Beach,P0191,0,34,2
2026-01-31,Dania Beach,P0122,0,0,2
2025-12-31,Dania Beach,P0114,5,5,2
2025-11-30,Oakland Park,P0215,3,53,2
2025-08-31,Oakland Park,P0293,5,75,1
2026-04-30,Dania Beach,P0159,0,42,2
2025-12-31,Oakland Park,P0013,0,58,2
2026-04-30,Lake Worth,P0081,4,40,3
2026-02-28,Dania Beach,P0098,7,18,2
2026-04-30,Oakland Park,P0186,3,157,1
2026-04-30,Oakland Park,P0075,2,26,2
2026-01-31,Dania Beach,P0177,5,63,1
2025-11-30,Oakland Park,P0239,3,17,2
2026-03-31,Lake Worth,P0150,7,14,3
2025-07-31,Dania Beach,P0180,0,46,2
2025-11-30,Oakland Park,P0275,1,66,3
2026-04-30,Dania Beach,P0192,5,21,2
2025-12-31,Lake Worth,P0020,4,75,1
2025-12-31,Oakland Park,P0112,21,33,2
2025-10-31,Dania Beach,P0138,29,44,1
2026-06-30,Dania Beach,P0124,1,48,2
2026-02-28,Oakland Park,P0212,2,46,1
2026-01-31,Dania Beach,P0144,0,0,2
2026-03-31,Dania Beach,P0023,2,38,3
2026-05-31,Oakland Park,P0208,0,10,3
2025-08-31,Dania Beach,P0294,8,25,3
2025-08-31,Dania Beach,P0141,21,57,3
2026-06-30,Oakland Park,P0193,3,71,2
2026-04-30,Oakland Park,P0158,0,36,3
2025-07-31,Lake Worth,P0005,4,49,2
2025-07-31,Lake Worth,P0028,64,115,2
2026-04-30,Dania Beach,P0087,4,19,2
2026-06-30,Lake Worth,P0119,0,29,3
2025-11-30,Oakland Park,P0289,1,48,3
2026-05-31,Dania Beach,P0167,5,209,1
2026-02-28,Oakland Park,P0289,0,48,3
2026-02-28,Lake Worth,P0018,6,152,2
2025-11-30,Lake Worth,P0232,16,90,1
2025-11-30,Lake Worth,P0198,7,51,3
2026-03-31,Oakland Park,P0217,1,20,2
2026-05-31,Oakland Park,P0140,5,18,2
2026-06-30,Dania Beach,P0235,0,11,1
2026-04-30,Lake Worth,P0218,2,41,1
2026-01-31,Lake Worth,P0259,3,59,1
2025-12-31,Oakland Park,P0116,7,13,1
2026-02-28,Oakland Park,P0244,2,21,2
2026-04-30,Dania Beach,P0022,17,41,2
2026-06-30,Dania Beach,P0189,0,0,1
2025-10-31,Dania Beach,P0086,5,29,2
2025-09-30,Lake Worth,P0071,10,58,3
2025-09-30,Oakland Park,P0041,9,258,2
2026-02-28,Lake Worth,P0010,3,6,1
2026-04-30,Lake Worth,P0069,20,27,3
2026-06-30,Dania Beach,P0228,4,12,1
2026-03-31,Lake Worth,P0122,13,35,2
2026-05-31,Dania Beach,P0029,3,67,2
2025-09-30,Oakland Park,P0051,3,55,2
2026-04-30,Dania Beach,P0225,17,6,2
2026-01-31,Lake Worth,P0074,2,33,3
2026-06-30,Lake Worth,P0089,2,56,3
2026-01-31,Oakland Park,P0051,0,33,1
2026-06-30,Lake Worth,P0234,9,69,1
2025-08-31,Dania Beach,P0290,0,20,1
2025-11-30,Oakland Park,P0068,11,15,3
2025-09-30,Dania Beach,P0053,3,7,2
2025-12-31,Dania Beach,P0217,1,42,2
2025-07-31,Oakland Park,P0248,4,9,2
2026-02-28,Dania Beach,P0112,22,292,3
2025-09-30,Oakland Park,P0013,1,69,1
2026-01-31,Lake Worth,P0167,2,55,2
2026-04-30,Oakland Park,P0204,6,15,3
