sale_id,sale_date,location,product_id,quantity,unit_price,discount,net_amount
S000385,2025-07-15,Oakland Park,P0143,1,33.65,0.0,33.65
S002458,2025-10-07,Dania Beach,P0138,1,18.5,0.0,18.5
S008299,2026-05-01,Oakland Park,P0247,1,11.6,0.0,11.6
S002374,2025-10-04,Dania Beach,P0181,1,38.54,0.0,38.54
S002579,2025-10-12,Oakland Park,P0129,1,7.89,0.0,7.89
S006459,2026-03-04,Dania Beach,P0271,1,13.23,0.0,13.23
S005411,2026-01-11,Lake Worth,P0225,1,30.83,0.0,30.83
S007325,2026-04-06,Lake Worth,P0110,1,16.9,0.0,16.9
S002360,2025-10-04,Oakland Park,P0250,1,26.07,0.0,26.07
S006678,2026-03-14,Dania Beach,P0100,1,34.67,0.0,34.67
S000675,2025-07-28,Lake Worth,P0120,1,23.21,0.0,23.21
S008675,2026-05-16,Dania Beach,P0233,1,22.74,0.0,22.74
S003901,2025-12-04,Dania Beach,P0167,1,11.11,0.0,11.11
S001876,2025-09-14,Dania Beach,P0122,1,15.39,0.0,15.39
S009105,2026-06-02,Dania Beach,P0100,1,34.67,0.0,34.67
S000578,2025-07-25,Dania Beach,P0168,2,9.03,0.0,18.06
S008429,2026-05-06,Dania Beach,P0028,1,22.61,0.0,22.61
S008554,2026-05-11,Oakland Park,P0271,2,13.23,0.0,26.46
S009471,2026-06-16,Lake Worth,P0063,1,32.31,0.0,32.31
S005087,2025-12-29,Dania Beach,P0099,1,32.17,0.0,32.17
S006392,2026-03-01,Dania Beach,P0258,1,20.03,0.0,20.03
S000305,2025-07-12,Dania Beach,P0288,1,39.45,0.0,39.45
S005932,2026-02-06,Dania Beach,P0249,1,24.88,0.0,24.88
S004216,2025-12-11,Dania Beach,P0013,1,19.04,0.0,19.04
S006494,2026-03-06,Oakland Park,P0196,1,23.33,0.0,23.33
S003606,2025-11-23,Dania Beach,P0210,2,17.31,0.0,34.62
S009161,2026-06-04,Dania Beach,P0258,1,20.03,0.0,20.03
S000766,2025-08-01,Dania Beach,P0060,1,16.29,0.0,16.29
S005148,2025-12-30,Oakland Park,P0042,1,16.07,0.0,16.07
S006713,2026-03-15,Oakland Park,P0028,2,22.61,2.0,41.22
S004825,2025-12-24,Oakland Park,P0215,1,5.21,0.0,5.21
S006812,2026-03-19,Dania Beach,P0136,1,34.18,5.0,29.18
S000877,2025-08-05,Lake Worth,P0147,1,40.67,0.0,40.67
S000312,2025-07-12,Oakland Park,P0156,1,33.24,0.0,33.24
S003923,2025-12-04,Lake Worth,P0119,1,10.1,0.0,10.1
S005040,2025-12-28,Dania Beach,P0100,1,34.67,0.0,34.67
S006285,2026-02-25,Lake Worth,P0258,1,20.03,0.0,20.03
S007910,2026-04-20,Oakland Park,P0138,3,18.5,2.0,49.5
S006274,2026-02-24,Oakland Park,P0246,1,14.88,0.0,14.88
S009696,2026-06-25,Lake Worth,P0209,1,38.73,0.0,38.73
S003351,2025-11-12,Oakland Park,P0144,1,39.21,0.0,39.21
S002997,2025-10-29,Dania Beach,P0077,1,38.06,0.0,38.06
S008495,2026-05-09,Oakland Park,P0229,1,15.22,0.0,15.22
S002372,2025-10-04,Dania Beach,P0100,1,34.67,0.0,34.67
S003620,2025-11-23,Dania Beach,P0254,1,15.72,0.0,15.72
S003825,2025-12-01,Lake Worth,P0058,3,6.59,0.0,19.77
S009144,2026-06-03,Oakland Park,P0004,1,33.33,0.0,33.33
S009067,2026-05-31,Oakland Park,P0219,2,19.95,2.0,35.9
