product_id,sku,artist,title,format,genre,condition,cost,price,release_year
P0082,WGB-31079,Selena,Selected Works,Cassette,Latin,New,5.87,11.34,2011.0
P0003,WGB-23396,Bad Bunny,Bad Motion,CD,Latin,New,6.96,11.11,1978.0
P0153,WGB-28191,Fleetwood Mac,Grooves,LP,Rock,New,13.88,24.73,1963.0
P0268,WGB-74054,The Rolling Stones,Coastline,LP,Rock,New,16.07,28.7,2021.0
P0247,WGB-74634,Buena Vista Social Club,Buena Afterhours,LP,Latin,Used,4.53,$11.6,
P0008,WGB-84341,Herbie Hancock,Live at the Regal,LP,Jazz,New,15.82,23.36,1999.0
P0048,WGB-68008,Bad Bunny,The Early Years,LP,Latin,New,25.79,43.54,2026.0
P0169,WGB-83619,Wu-Tang Clan,Wu-Tang Horizons,LP,Hip-Hop,New,17.48,28.05,1982.0
P0199,WGB-99285,Four Tet,Blueprint,CD,Electronic,New,8.04,11.97,2011.0
P0170,WGB-19706,Mastodon,The Early Years,LP,Metal,Used,5.2,12.29,2021.0
P0245,WGB-23538,OutKast,OutKast Anthology,LP,Hip-Hop,New,18.47,30.57,2016.0
P0028,WGB-11220,Alice Coltrane,Nights,CD,Jazz,New,13.63,22.61,1999.0
P0021,WGB-68800,Erik Satie,Erik Live at the Regal,LP,Classical,New,13.23,20.19,1972.0
P0104,WGB-73156,  Celia Cruz ,Interstellar,LP,Latin,New,13.37,23.8,
P0265,WGB-58929,Thelonious Monk,Afterhours,LP,Jazz,New,13.06,19.55,1974.0
P0075,WGB-37659,Philip Glass,Afterhours,CD,Classical,Used,7.38,16.43,1971.0
P0240,WGB-60311,Al Green,Vol. II,LP,Soul/Funk,Used,10.45,29.77,2008.0
P0103,WGB-36318,Black Sabbath,Black Afterhours,LP,Metal,New,14.55,23.52,1996.0
P0182,WGB-16632,Nas,Anthology,LP,Hip-Hop,New,16.64,25.07,1993.0
P0226,WGB-36805,Radiohead,Echoes,Cassette,Alternative,New,9.82,19.09,2020.0
P0272,WGB-66120,Claude Debussy,Echoes,CD,CLASSICAL,Used,6.86,$18.29,2003.0
P0297,WGB-23487,Juan Luis Guerra,Rarities,LP,Latin,Used,7.04,17.64,1980.0
P0089,WGB-73483,Iron Maiden,Sessions,LP,METAL,New,23.71,38.61,2021.0
P0279,WGB-70238,Juan Luis Guerra,Juan Selected Works,CD,Latin,Used,1.93,5.18,1965.0
P0133,WGB-61873,Parliament,Vol. II,LP,Soul/Funk,New,19.01,31.55,
P0205,WGB-21368,Buena Vista Social Club,Motion,LP,Latin,Used,12.1,34.1,2010.0
P0186,WGB-57516,Interpol,Rarities,CD,Alternative,New,5.43,8.27,2010.0
P0184,WGB-69930,Tom Petty,The Early Years,LP,Rock,New,10.53,16.92,1961.0
P0282,WGB-27393,Grant Green,Blueprint,LP,Jazz,New,9.02,14.8,1971.0
P0192,WGB-64890,Al Green,Nights,CD,soul/funk,New,6.73,9.96,1973.0
P0111,,A Tribe Called Quest,Rarities,LP,Hip-Hop,Used,3.67,9.29,2004.0
P0043,WGB-49829,Santana,In Dub,CD,Rock,Used,4.11,11.96,1997.0
P0058,WGB-83920,Led Zeppelin,Echoes,CD,Rock,Used,2.41,6.59,1989.0
P0270,WGB-67850,Fleetwood Mac,Horizons,CD,Rock,Used,4.93,13.93,2005.0
P0088,WGB-64387,Willie Colon,Echoes,"7""",Latin,New,8.29,14.79,1976.0
P0210,WGB-18094,  Roy Ayers ,Vol. II,LP,Soul/Funk,New,10.33,17.31,2005.0
P0068,WGB-50189,Nas,Interstellar,LP,Hip-Hop,Used,6.87,18.85,2001.0
P0136,WGB-94278,Sister Nancy,Selected Works,LP,Reggae,Used,10.49,34.18,2016.0
P0032,WGB-46265,Boards of Canada,Boards Interstellar,LP,Electronic,Used,4.02,10.89,1965.0
P0271,WGB-21401,Erik Satie,Grooves,CD,Classical,New,9.16,13.23,1963.0
P0150,WGB-58655,A Tribe Called Quest,Echoes,CD,Hip-Hop,New,5.44,8.12,1991.0
P0078,WGB-31747,  Fleetwood Mac ,Coastline,LP,Rock,New,23.05,34.08,1993.0
P0009,,Grant Green,Selected Works,LP,Jazz,Used,4.57,10.82,2017.0
P0292,WGB-77017,J Dilla,Vol. II,CD,Hip-Hop,New,7.55,10.79,1978.0
P0117,WGB-68138,MF DOOM,MF Live at the Regal,Cassette,Hip-Hop,Used,4.22,13.24,2013.0
P0144,WGB-99838,Nas,Vol. II,LP,Hip-Hop,New,22.82,39.21,2001.0
P0201,WGB-33040,Aphex Twin,Grooves,LP,Electronic,New,24.52,37.27,1963.0
P0079,WGB-75597,Four Tet,Reflections,LP,Electronic,New,20.9,38.19,1997.0
P0155,WGB-18232,Pink Floyd,Pink Blueprint,LP,Rock,New,19.86,33.74,2012.0
P0174,WGB-19720,Al Green,Interstellar,LP,Soul/Funk,New,11.13,17.55,1968.0
P0070,WGB-49618,J.S. Bach,J.S. Basement Tapes,LP,Classical,New,14.04,22.38,1983.0
P0013,WGB-49117,Wu-Tang Clan,Horizons,Cassette,Hip-Hop,Used,5.22,19.04,2023.0
P0164,WGB-96628,Marvin Gaye,Unplugged,LP,Soul/Funk,Used,6.53,14.99,1996.0
P0039,WGB-44237,Pixies,Rarities,CD,Alternative,New,13.73,18.68,2001.0
P0086,WGB-24871,Daft Punk,Motion,LP,Electronic,New,10.58,19.54,2011.0
P0099,WGB-42780,Daft Punk,Vol. II,LP,Electronic,New,19.86,32.17,1997.0
P0038,WGB-62227,Slayer,Rarities,LP,Metal,Used,5.45,16.31,1988.0
P0128,WGB-98930,  Burial ,Horizons,LP,Electronic,New,16.31,25.5,2003.0
P0173,WGB-50539,Celia Cruz,Coastline,LP,Latin,New,19.4,28.8,1975.0
P0050,WGB-45614,Iron Maiden,Interstellar,LP,Metal,New,10.32,16.14,2015.0
P0298,WGB-60197,Aphex Twin,Blueprint,CD,Electronic,New,7.24,10.79,1960.0
P0252,WGB-37479,Toots & The Maytals,Afterhours,Cassette,Reggae,New,10.08,$18.54,1962.0
P0011,WGB-42953,Led Zeppelin,Frequencies,LP,Rock,New,19.13,$31.32,2007.0
P0020,WGB-17100,Alice Coltrane,Unplugged,LP,jazz,New,15.02,24.25,2014.0
P0045,WGB-36100,Grant Green,Grant Grooves,LP,Jazz,New,20.44,31.47,1989.0
P0106,WGB-98125,Iron Maiden,Vol. II,CD,metal,New,9.2,14.38,1974.0
P0269,WGB-74921,Buena Vista Social Club,Reflections,LP,Latin,New,11.86,19.37,1995.0
