sale_id,sale_date,location,product_id,quantity,unit_price,discount
S000385,2025-07-15,OAKLAND PARK,P0143,1,$33.65,0.0
S002458,2025-10-07,Dania Beach,P0138,1,18.5,0.0
S008299,2026-05-01,Oakland Park,P0247,1,11.6,0.0
S002374,2025-10-04,Dania Beach,P0181,1,38.54,0.0
S002579,10/12/2025,Oakland Park,P0129,1,7.89,0.0
S006459,2026-03-04,Dania Beach,P0271,1,$13.23,0.0
S005411,1/11/2026,lake worth,P0225,1,30.83,0.0
S007325,2026-04-06,Lake Worth,P0110,1,16.9,0.0
S002360,2025-10-04,Oakland Park,P0250,1,26.07,0.0
S006678,2026-03-14,Dania Beach,P0100,1,34.67,0.0
S000675,2025-07-28,Lake Worth,P0120,1,23.21,0.0
S008675,2026-05-16,Dania Beach,P0233,1,22.74,0.0
S003901,2025-12-04,Dania Beach,P0167,1,11.11,0.0
S001876,9/14/2025,Dania Beach,P0122,1,15.39,0.0
S009105,2026-06-02,Dania Beach,P0100,1,34.67,0.0
S000578,2025-07-25,Dania Beach,P0168,2,9.03,0.0
S008429,2026-05-06,Dania Beach,P0028,1,22.61,0.0
S008554,5/11/2026,Oakland Park,P0271,2,13.23,0.0
S009471,2026-06-16,Lake Worth,P0063,1,32.31,0.0
S005087,2025-12-29,Dania Beach,P0099,1,32.17,
S006392,2026-03-01,Dania Beach,P0258,1,20.03,0.0
S000305,2025-07-12,Dania Beach,P0288,1,39.45,0.0
S005932,2026-02-06,dania beach,P0249,1,24.88,0.0
S004216,2025-12-11,Dania Beach,P0013,1,19.04,0.0
S006494,3/6/2026,Oakland Park,P0196,1,23.33,0.0
S003606,2025-11-23,Dania Beach,P0210,2,17.31,0.0
S009161,2026-06-04,Dania Beach,P0258,1,20.03,0.0
S000766,2025-08-01,Dania Beach,P0060,1,16.29,0.0
S005148,2025-12-30,Oakland Park,P0042,1,16.07,0.0
S006713,2026-03-15,Oakland Park,P0028,2,22.61,2.0
S004825,12/24/2025,Oakland Park,P0215,1,5.21,0.0
S006812,2026-03-19,Dania Beach,P0136,1,34.18,5.0
S000877,2025-08-05,Lake Worth,P0147,1,40.67,0.0
S000312,2025-07-12,Oakland Park,P0156,1,33.24,0.0
S003923,2025-12-04,Lake Worth,P0119,1,$10.1,0.0
S005040,2025-12-28,Dania Beach,P0100,1,34.67,0.0
S006285,2026-02-25,Lake Worth,P0258,1,20.03,0.0
S007910,2026-04-20,Oakland Park,P0138,3,18.5,2.0
S006274,2026-02-24,Oakland Park,P0246,1,14.88,0.0
S009696,2026-06-25,Lake Worth,P0209,1,38.73,0.0
S003351,2025-11-12,Oakland Park,P0144,1,39.21,0.0
S002997,2025-10-29,dania beach,P0077,1,38.06,0.0
S008495,2026-05-09,Oakland Park,P0229,1,15.22,0.0
S002372,2025-10-04,Dania Beach,P0100,1,34.67,0.0
S003620,2025-11-23,Dania Beach,P0254,1,15.72,0.0
S003825,12/1/2025,Lake Worth,P0058,3,$6.59,0.0
S009144,2026-06-03,Oakland Park,P0004,1,33.33,0.0
S009067,2026-05-31,Oakland Park,P0219,2,19.95,2.0
S004542,2025-12-18,Dania Beach,P0157,1,8.43,0.0
S004914,2025-12-26,Dania Beach,P0164,1,14.99,0.0
S000028,2025-07-02,oakland park,P0195,2,23.58,0.0
S000879,2025-08-05,Dania Beach,P0258,1,20.03,0.0
S008071,2026-04-25,Oakland Park,P0122,1,15.39,0.0
S004437,2025-12-15,Oakland Park,P0034,1,17.39,0.0
S008128,2026-04-26,Dania Beach,P0289,1,47.01,0.0
S008251,2026-04-29,Oakland Park,P0016,1,9.61,
S005977,2026-02-08,Lake Worth,P0226,1,19.09,0.0
S000304,2025-07-12,Oakland Park,P0205,1,34.1,0.0
S004561,2025-12-18,Dania Beach,P0060,1,16.29,2.0
S002038,2025-09-22,Oakland Park,P0138,1,18.5,0.0
S000633,2025-07-26,Lake Worth,P0156,1,33.24,0.0
S004993,2025-12-27,Oakland Park,P0099,1,32.17,0.0
S008549,2026-05-10,Dania Beach,P0258,1,20.03,0.0
S004956,2025-12-27,Lake Worth,P0088,1,14.79,0.0
S008833,2026-05-22,Oakland Park,P0135,1,18.06,0.0
S004822,2025-12-24,Lake Worth,P0120,1,23.21,0.0
S002813,2025-10-21,Dania Beach,P0257,1,21.09,
S004721,2025-12-22,Oakland Park,P0286,1,17.06,0.0
S003172,2025-11-04,Dania Beach,P0271,1,13.23,0.0
S001165,8/17/2025,Dania Beach,P0258,1,20.03,0.0
S001348,2025-08-25,Dania Beach,P0258,1,20.03,0.0
S009715,2026-06-26,Oakland Park,P0068,1,18.85,0.0
S000797,8/2/2025,Oakland Park,P0258,1,20.03,0.0
S006899,2026-03-22,Dania Beach,P0115,1,35.88,0.0
S005987,2026-02-08,Dania Beach,P0131,2,10.61,0.0
S004722,2025-12-22,Dania Beach,P0028,2,22.61,0.0
S000459,2025-07-19,Dania Beach,P0265,1,19.55,0.0
S007155,2026-04-02,Dania Beach,P0061,2,13.54,0.0
S002066,9/23/2025,Dania Beach,P0293,1,17.47,0.0
S002690,2025-10-17,OAKLAND PARK,P0263,1,$24.16,0.0
S004106,12/8/2025,Oakland Park,P0093,1,10.98,5.0
S008423,2026-05-06,Lake Worth,P0229,1,15.22,2.0
S002653,2025-10-16,Oakland Park,P0100,2,34.67,0.0
S000040,2025-07-02,Lake Worth,P0041,1,11.22,0.0
S008862,2026-05-23,Oakland Park,P0258,3,20.03,0.0
S001424,2025-08-28,Oakland Park,P0107,1,35.69,0.0
S000250,2025-07-10,Dania Beach,P0258,2,20.03,2.0
S002736,2025-10-18,Dania Beach,P0016,2,9.61,0.0
S003882,2025-12-03,Oakland Park,P0258,2,20.03,0.0
S004526,2025-12-17,Oakland Park,P0058,1,6.59,0.0
S008744,2026-05-18,Dania Beach,P0027,2,16.28,0.0
S008367,2026-05-04,Dania Beach,P0227,1,22.7,0.0
S004698,2025-12-21,Dania Beach,P0121,1,26.48,0.0
S000500,2025-07-20,Lake Worth,P0042,1,16.07,0.0
S004736,2025-12-22,Dania Beach,P0024,1,12.01,5.0
S000962,2025-08-09,Dania Beach,P0282,1,14.8,0.0
S001177,2025-08-18,OAKLAND PARK,P0250,1,26.07,0.0
S005206,2025-12-31,Oakland Park,P0297,1,17.64,2.0
S009112,2026-06-02,Dania Beach,P0279,1,5.18,0.0
S002123,2025-09-25,Dania Beach,P0232,1,35.97,
S004399,2025-12-14,Dania Beach,P0265,1,19.55,0.0
S003860,2025-12-02,Oakland Park,P0235,1,21.78,0.0
S001335,2025-08-24,Dania Beach,P0097,1,11.18,0.0
S005913,2026-02-05,Oakland Park,P0157,1,8.43,5.0
S001081,8/14/2025,Oakland Park,P0199,1,11.97,0.0
S009272,2026-06-07,LAKE WORTH,P0295,1,27.7,0.0
S002315,2025-10-02,Oakland Park,P0143,2,33.65,5.0
S002407,10/5/2025,Oakland Park,P0120,1,23.21,0.0
S005578,2026-01-19,Dania Beach,P0014,1,41.58,2.0
S004360,2025-12-14,Lake Worth,P0206,1,25.28,0.0
S005102,2025-12-29,Dania Beach,P0258,1,20.03,0.0
S009390,2026-06-13,Dania Beach,P0237,1,18.61,0.0
S003188,11/5/2025,Dania Beach,P0028,1,22.61,2.0
S000773,2025-08-02,Lake Worth,P0279,2,$5.18,0.0
S004241,2025-12-11,Dania Beach,P0133,1,31.55,0.0
S006051,2026-02-13,Lake Worth,P0169,1,28.05,0.0
S002465,2025-10-07,Oakland Park,P0200,1,20.12,
S006383,2026-03-01,Dania Beach,P0138,1,18.5,0.0
S009643,2026-06-22,Dania Beach,P0057,2,31.85,0.0
S003808,2025-12-01,Lake Worth,P0287,1,38.39,0.0
S008856,2026-05-23,Oakland Park,P0215,1,5.21,
S008970,2026-05-27,Oakland Park,P0289,1,47.01,0.0
S003485,11/18/2025,Lake Worth,P0083,1,9.28,0.0
S009353,2026-06-12,Dania Beach,P0225,2,30.83,5.0
S001664,2025-09-06,Dania Beach,P0228,1,12.36,0.0
S002826,10/22/2025,Dania Beach,P0098,1,12.85,2.0
S001388,2025-08-27,Oakland Park,P0155,1,33.74,0.0
S008638,2026-05-14,Dania Beach,P0132,1,38.62,2.0
S002957,2025-10-27,Lake Worth,P0229,1,15.22,0.0
S007271,2026-04-05,Lake Worth,P0208,1,8.68,0.0
S008382,2026-05-04,Lake Worth,P0104,1,23.8,0.0
S009445,2026-06-15,Oakland Park,P0045,1,31.47,0.0
S003383,2025-11-13,Lake Worth,P0125,1,30.0,0.0
S009711,2026-06-25,OAKLAND PARK,P0272,1,18.29,0.0
S003083,2025-11-01,Dania Beach,P0007,1,18.87,0.0
S003529,2025-11-20,Dania Beach,P0242,1,16.38,0.0
S001604,2025-09-04,dania beach,P0258,1,20.03,0.0
S001074,2025-08-14,DANIA BEACH,P0258,1,$20.03,0.0
S008426,2026-05-06,Oakland Park,P0114,1,22.91,0.0
S003458,2025-11-16,Dania Beach,P0123,1,32.28,0.0
S004305,2025-12-13,Lake Worth,P0156,1,33.24,0.0
S007630,2026-04-13,Dania Beach,P0031,1,23.06,0.0
S003398,2025-11-14,Oakland Park,P0145,1,18.52,0.0
S001969,2025-09-19,Dania Beach,P0229,1,$15.22,2.0
S000380,2025-07-15,Lake Worth,P0232,1,35.97,0.0
S001765,2025-09-10,Oakland Park,P0294,1,30.88,0.0
S006592,2026-03-10,Oakland Park,P0101,1,40.29,0.0
S005556,2026-01-18,Lake Worth,P0278,1,27.49,2.0
S005291,2026-01-04,Dania Beach,P0134,1,13.77,2.0
S005790,2026-01-31,Dania Beach,P0136,1,34.18,0.0
S000021,2025-07-02,Lake Worth,P0134,1,13.77,
S006065,2026-02-13,Lake Worth,P0150,1,8.12,
S003773,2025-11-30,Oakland Park,P0178,2,35.29,0.0
S001340,8/25/2025,Oakland Park,P0070,2,22.38,0.0
S002190,2025-09-28,Dania Beach,P0095,1,15.25,0.0
S004178,2025-12-10,Lake Worth,P0039,1,18.68,0.0
S006549,2026-03-08,dania beach,P0258,1,20.03,5.0
S001768,2025-09-10,Oakland Park,P0042,1,16.07,0.0
S003848,12/2/2025,Lake Worth,P0098,1,12.85,0.0
S009452,6/15/2026,Oakland Park,P0293,1,17.47,
S000041,2025-07-02,Oakland Park,P0222,1,25.03,0.0
S005910,2026-02-05,Oakland Park,P0107,1,35.69,0.0
S000091,7/4/2025,Oakland Park,P0123,1,32.28,0.0
S001543,2025-09-01,Oakland Park,P0137,1,34.89,0.0
S006063,2026-02-13,oakland park,P0250,1,26.07,0.0
S004961,2025-12-27,Dania Beach,P0095,2,15.25,0.0
S007468,2026-04-10,Dania Beach,P0120,2,23.21,2.0
S006288,2026-02-25,Dania Beach,P0222,1,25.03,
S006147,2026-02-17,Dania Beach,P0074,1,23.62,2.0
S009117,2026-06-02,Lake Worth,P0097,1,11.18,2.0
S008257,2026-04-30,Lake Worth,P0069,1,21.4,0.0
S002554,2025-10-11,Dania Beach,P0269,1,19.37,0.0
S000885,8/5/2025,Dania Beach,P0050,1,16.14,0.0
S006677,2026-03-14,Dania Beach,P0031,1,23.06,5.0
S000044,2025-07-02,Oakland Park,P0181,1,$38.54,0.0
S000205,2025-07-07,Dania Beach,P0005,1,12.32,2.0
S003213,2025-11-06,Oakland Park,P0298,1,10.79,2.0
S006133,2026-02-16,Oakland Park,P0181,3,$38.54,5.0
S008878,2026-05-23,lake worth,P0112,1,9.26,0.0
S000844,2025-08-04,Dania Beach,P0258,1,20.03,0.0
S000283,2025-07-12,Oakland Park,P0144,1,39.21,0.0
S000546,2025-07-23,Dania Beach,P0257,2,21.09,0.0
S008518,2026-05-09,Oakland Park,P0117,1,13.24,0.0
S008233,2026-04-29,Dania Beach,P0229,3,15.22,0.0
S002234,2025-09-29,Dania Beach,P0071,1,14.0,0.0
S002890,2025-10-25,OAKLAND PARK,P0138,1,18.5,0.0
S008245,2026-04-29,Dania Beach,P0141,1,18.03,0.0
S009026,5/30/2026,Dania Beach,P0157,1,8.43,0.0
S003115,11/2/2025,Oakland Park,P0197,1,24.23,0.0
S000867,2025-08-05,Oakland Park,P0271,2,13.23,0.0
S006920,3/23/2026,Lake Worth,P0055,1,18.49,2.0
S008743,5/18/2026,Dania Beach,P0257,1,$21.09,0.0
S009490,6/17/2026,Dania Beach,P0251,1,16.69,0.0
S003050,2025-10-31,Dania Beach,P0108,1,11.87,0.0
S003390,2025-11-14,Oakland Park,P0141,1,$18.03,5.0
S008121,2026-04-26,Dania Beach,P0196,1,23.33,0.0
S003641,2025-11-25,Lake Worth,P0181,1,38.54,0.0
S007053,2026-03-30,DANIA BEACH,P0229,1,15.22,0.0
S001425,2025-08-28,Dania Beach,P0002,1,33.09,0.0
S009077,2026-06-01,Lake Worth,P0250,1,26.07,0.0
S004866,2025-12-25,Dania Beach,P0009,1,10.82,0.0
S000073,2025-07-03,Oakland Park,P0240,1,29.77,0.0
S002508,10/9/2025,Oakland Park,P0255,1,34.26,0.0
S000882,8/5/2025,Oakland Park,P0063,1,32.31,0.0
S006701,2026-03-15,Oakland Park,P0025,1,37.2,2.0
S002424,2025-10-05,Oakland Park,P0247,1,11.6,
S002783,2025-10-20,Dania Beach,P0262,1,32.15,0.0
S001055,2025-08-13,lake worth,P0099,1,32.17,0.0
S009197,2026-06-06,Dania Beach,P0028,1,22.61,0.0
S005001,2025-12-27,Dania Beach,P0141,3,$18.03,0.0
S006982,2026-03-26,Oakland Park,P0159,1,5.86,0.0
S004680,2025-12-21,Lake Worth,P0122,2,15.39,0.0
S000185,7/7/2025,lake worth,P0240,1,29.77,2.0
S007603,2026-04-12,Oakland Park,P0258,1,20.03,0.0
S005396,2026-01-10,Dania Beach,P0145,1,18.52,0.0
S008276,2026-04-30,Oakland Park,P0080,1,3.25,0.0
S005084,2025-12-29,Lake Worth,P0183,1,39.68,0.0
S008832,2026-05-22,Oakland Park,P0007,1,18.87,0.0
S002046,2025-09-22,Oakland Park,P0014,1,41.58,0.0
S008562,2026-05-11,Dania Beach,P0078,1,34.08,0.0
S002915,2025-10-26,Oakland Park,P0101,1,40.29,0.0
S005276,2026-01-04,Lake Worth,P0229,1,15.22,0.0
S006128,2026-02-16,Dania Beach,P0229,1,15.22,0.0
S001677,2025-09-06,Dania Beach,P0006,1,18.74,0.0
S004610,12/20/2025,Oakland Park,P0079,2,38.19,0.0
S007353,2026-04-06,Dania Beach,P0090,1,39.67,2.0
S006935,2026-03-24,Oakland Park,P0258,2,20.03,
S001278,2025-08-23,oakland park,P0023,1,36.9,0.0
S000423,2025-07-18,Lake Worth,P0269,1,19.37,2.0
S009579,2026-06-21,Oakland Park,P0250,1,26.07,0.0
S009831,2026-06-30,Oakland Park,P0028,1,22.61,0.0
S006108,2026-02-15,LAKE WORTH,P0022,1,7.3,0.0
S003430,2025-11-15,Dania Beach,P0028,1,22.61,0.0
S005717,2026-01-26,Dania Beach,P0028,1,22.61,2.0
S003072,2025-11-01,Lake Worth,P0157,2,8.43,0.0
S005818,2026-01-31,Oakland Park,P0028,1,22.61,0.0
S003803,2025-12-01,lake worth,P0233,1,22.74,0.0
