location,genre,revenue,units
Dania Beach,Latin,30753.5,1445
Dania Beach,Jazz,27985.41,1263
Dania Beach,Hip-Hop,15861.27,589
Dania Beach,Rock,10726.58,529
Dania Beach,Electronic,6871.37,320
Dania Beach,Soul/Funk,5401.84,340
Dania Beach,Metal,5031.59,254
Dania Beach,Alternative,2679.18,147
Dania Beach,Classical,1896.23,93
Dania Beach,Reggae,904.72,47
Lake Worth,Hip-Hop,10871.22,401
Lake Worth,Latin,7897.57,358
Lake Worth,Jazz,6486.92,304
Lake Worth,Rock,6470.26,325
Lake Worth,Electronic,4534.25,218
Lake Worth,Metal,3787.16,207
Lake Worth,Soul/Funk,3722.72,223
Lake Worth,Alternative,2190.31,110
Lake Worth,Classical,1372.32,67
Lake Worth,Reggae,613.13,31
Oakland Park,Hip-Hop,19282.45,741
Oakland Park,Rock,14095.18,674
Oakland Park,Latin,13437.44,643
Oakland Park,Jazz,11953.95,565
Oakland Park,Electronic,7769.12,357
Oakland Park,Soul/Funk,6327.62,383
Oakland Park,Metal,5831.51,268
Oakland Park,Alternative,4011.94,207
Oakland Park,Classical,2252.79,116
Oakland Park,Reggae,1323.24,69
