location,artist,title,genre,quantity_on_hand,days_in_stock
Lake Worth,Nas,Rarities,Hip-Hop,14,313
Dania Beach,Herbie Hancock,Reflections,Jazz,6,310
Oakland Park,My Bloody Valentine,Coastline,Alternative,10,308
Dania Beach,Nas,Interstellar,Hip-Hop,12,300
Oakland Park,Bad Bunny,The Early Years,Latin,6,290
Dania Beach,Nas,Basement Tapes,Hip-Hop,21,288
Dania Beach,Nas,Rarities,Hip-Hop,8,285
Lake Worth,Sonic Youth,Live at the Regal,Alternative,6,276
Oakland Park,Burial,Rarities,Electronic,8,264
Lake Worth,Led Zeppelin,In Dub,Rock,7,263
Oakland Park,Santana,Unplugged,Rock,7,263
Lake Worth,Juan Luis Guerra,In Dub,Latin,7,262
Oakland Park,Alice Coltrane,Motion,Jazz,10,253
Lake Worth,Alice Coltrane,Basement Tapes,Jazz,13,247
Dania Beach,Willie Colon,Basement Tapes,Latin,6,232
Oakland Park,Curtis Mayfield,Standards,Soul/Funk,6,231
Lake Worth,Floating Points,Anthology,Electronic,16,219
Oakland Park,Black Sabbath,Frequencies,Metal,21,201
Oakland Park,Nas,Basement Tapes,Hip-Hop,16,201
Lake Worth,Led Zeppelin,Standards,Rock,21,197
Oakland Park,Mastodon,The Early Years,Metal,8,185
Oakland Park,J Dilla,J Echoes,Hip-Hop,32,185
Oakland Park,Buena Vista Social Club,Nights,Latin,7,182
Lake Worth,Grant Green,Grant Grooves,Jazz,17,180
Oakland Park,Mastodon,Nights,Metal,6,177
Oakland Park,Led Zeppelin,Standards,Rock,18,177
Oakland Park,John Coltrane,John Live at the Regal,Jazz,8,173
Oakland Park,Wu-Tang Clan,Blueprint,Hip-Hop,7,167
Oakland Park,Sly & The Family Stone,Selected Works,Soul/Funk,8,159
Oakland Park,Pantera,Standards,Metal,7,154
Oakland Park,Nas,Sessions,Hip-Hop,9,152
Lake Worth,Alice Coltrane,Anthology,Jazz,7,150
Oakland Park,Pantera,Motion,Metal,13,148
Oakland Park,Herbie Hancock,Nights,Jazz,14,147
Oakland Park,Erik Satie,Grooves,Classical,9,146
Dania Beach,Alice Coltrane,The Early Years,Jazz,23,142
Oakland Park,Nas,Vol. II,Hip-Hop,13,141
Dania Beach,Curtis Mayfield,Standards,Soul/Funk,6,139
Dania Beach,Aphex Twin,Blueprint,Electronic,13,138
Oakland Park,Wu-Tang Clan,Basement Tapes,Hip-Hop,44,135
Oakland Park,MF DOOM,Afterhours,Hip-Hop,11,133
Dania Beach,Wu-Tang Clan,Frequencies,Hip-Hop,6,127
Oakland Park,Alice Coltrane,Reflections,Jazz,13,125
Dania Beach,Celia Cruz,Live at the Regal,Latin,9,122
Oakland Park,Buena Vista Social Club,Motion,Latin,11,120
Dania Beach,Pixies,Rarities,Alternative,6,119
Oakland Park,Tom Petty,Tom Nights,Rock,13,119
Oakland Park,Wu-Tang Clan,Rarities,Hip-Hop,9,115
Oakland Park,Led Zeppelin,Selected Works,Rock,11,113
Oakland Park,Buena Vista Social Club,Basement Tapes,Latin,12,106
Oakland Park,Alice Coltrane,Basement Tapes,Jazz,12,106
Oakland Park,Claude Debussy,Claude Coastline,Classical,8,106
Oakland Park,Grant Green,Grant Grooves,Jazz,20,103
Oakland Park,Black Sabbath,Rarities,Metal,9,100
Oakland Park,Thelonious Monk,Horizons,Jazz,6,100
Oakland Park,Burial,Horizons,Electronic,10,95
Oakland Park,Al Green,Afterhours,Soul/Funk,8,93
Oakland Park,Nas,Rarities,Hip-Hop,14,93
