artist,title,format,genre,condition,units,revenue
Celia Cruz,Sessions,LP,Latin,New,939,18366.17
Alice Coltrane,Nights,CD,Jazz,New,384,8528.24
J Dilla,J Echoes,LP,Hip-Hop,New,184,6977.36
Wu-Tang Clan,Basement Tapes,LP,Hip-Hop,New,270,6933.9
Marvin Gaye,Horizons,LP,Soul/Funk,Used,402,5946.44
Nas,Interstellar,LP,Hip-Hop,Used,161,5136.08
Daft Punk,Vol. II,LP,Electronic,New,146,4629.82
J Dilla,J Anthology,LP,Hip-Hop,New,185,4218.85
Grant Green,Grant Grooves,LP,Jazz,New,126,3930.22
Bad Bunny,Bad Frequencies,LP,Latin,New,97,3436.09
Nas,Rarities,LP,Hip-Hop,New,84,3216.32
Nas,Basement Tapes,LP,Hip-Hop,New,102,3100.66
Alice Coltrane,Alice Selected Works,LP,Jazz,New,90,3098.3
Celia Cruz,The Early Years,LP,Latin,New,171,3095.5
Alice Coltrane,Basement Tapes,LP,Jazz,New,69,2691.54
